Label,SMS
ham,Mình đã đặt bàn ở nhà hàng ABC lúc 7h tối nay. Bạn nhớ đến đúng giờ nhé!
spam,Thông báo: Bạn còn nợ tiền điện 2.000.000đ. Thanh toán ngay để tránh bị cắt điện.
ham,"Anh ơi, em quên mang theo chìa khóa. Em sẽ đợi anh ở công ty."
spam,Cơ hội việc làm thu nhập 40-80tr/tháng. Ứng tuyển: job-fake.com
ham,"Chị ơi, em đã hoàn thành công việc rồi. Chị kiểm tra giúp em nhé!"
spam,KHẨN CẤP: Tài khoản Zalo của bạn đang gặp vấn đề bảo mật. Xác minh: zalo-secure-fake.com
ham,Tối nay có buổi liên hoan công ty lúc 6h. Bạn tham gia nhé!
spam,Chúc mừng! Bạn đã trúng vé du lịch Châu Âu trị giá 50 triệu. Liên hệ: tour-winner-fake.com
ham,"Em ơi, anh sẽ đến đón em lúc 5h chiều nhé!"
spam,Thông báo từ ngân hàng: Thẻ của bạn đã bị khóa. Mở khóa tại: card-unlock-fake.com
ham,"Chị ơi, em có thể gửi lại file hợp đồng được không? Em cần gấp."
spam,HOT! Cơ hội đầu tư tiền ảo sinh lời 200%/tháng. Chi tiết: crypto-invest-fake.com
ham,Nhớ mang theo hồ sơ khi đi phỏng vấn nhé!
spam,Bạn đã trúng thưởng 30 triệu đồng! Gọi ngay 1900xxxx để nhận giải.
ham,Chiều nay có họp phụ huynh lúc 5h. Bạn nhớ sắp xếp thời gian nhé!
spam,Cảnh báo: Tài khoản mobile banking của bạn có nguy cơ bị khóa. Xác minh: mbank-secure-fake.com
ham,"Anh ơi, em đã đặt vé xem phim lúc 8h tối nay rồi nhé!"
spam,Thông báo: SIM của bạn sẽ bị khóa 2 chiều trong 12h nữa. Liên hệ 19001235 để được hỗ trợ.
ham,"Mẹ ơi, con sẽ về nhà vào cuối tuần này!"
spam,HOT! Giảm giá sốc 80% tất cả sản phẩm. Mua ngay: sale-hot-fake.com
ham,Bạn có thể giúp mình giải bài tập này được không?
spam,Chúc mừng! Số điện thoại của bạn đã trúng 10 triệu trong chương trình quay số. Liên hệ: 090xxxxxxx
ham,Tối nay ăn gì vậy? Mình ghé siêu thị mua đồ nhé!
spam,Cảnh báo: Tài khoản ngân hàng của bạn có giao dịch lạ. Kiểm tra: bank-check-fake.com
ham,"Anh/chị ơi, em có thể nộp báo cáo vào ngày mai được không?"
spam,Cơ hội đầu tư BĐS sinh lời 200%. Chỉ còn 5 lô cuối. LH: 0901234567
ham,"Hôm nay tớ không đi học được, cho tớ mượn bài với nhé!"
spam,KHẨN: Tài khoản di động của bạn sắp bị khóa. Xác minh ngay: mobile-verify-fake.com
ham,"Nhớ mang theo ô khi ra ngoài, trời đang mưa to lắm!"
spam,Bạn đã trúng thưởng 20 triệu từ chương trình khuyến mãi. LH: 090xxxxxxx để nhận giải.
ham,Mai học môn gì vậy? Cho mình mượn tài liệu với.
spam,Cảnh báo: Tài khoản ngân hàng của bạn sắp bị đóng. Xác minh tại: bank-verify-fake.com
spam,HOT! Cơ hội việc làm thu nhập 50-100tr/tháng. Ứng tuyển: job-high-fake.com
ham,Bạn có thể cho mình mượn sách được không? Mai mình trả.
spam,Cảnh báo: Sắp hết hạn thanh toán phí bảo hiểm. Thanh toán tại: insurance-pay-fake.com
ham,Cuối tuần này đi chơi không? Mình có vé xem phim đó!
spam,Thông báo: Hệ thống phát hiện đăng nhập bất thường vào tài khoản. Kiểm tra: account-secure-fake.com
ham,Đã gửi tài liệu qua email. Bạn check giúp mình nhé!
spam,HOT! Cơ hội sở hữu iPhone 15 chỉ với 99.000đ. Chi tiết: iphone-cheap-fake.com
ham,Hôm nay bố mẹ về muộn. Con tự nấu mì ăn nhé!
spam,Bạn có khoản vay 50 triệu đã được duyệt. Nhận tiền tại: loan-quick-fake.com
ham,Mai nhớ mang theo giấy tờ để làm thủ tục nhé!
spam,Cảnh báo: SIM của bạn sẽ bị khóa sau 6h nữa. Liên hệ: 1900xxxx
ham,Thầy cô thông báo mai nghỉ học nhé! Có bão lớn.
spam,Chúc mừng! Tài khoản của bạn được tặng 500.000đ. Nhận ngay: bonus-bank-fake.com
ham,Chiều nay anh qua đón em được không? Em quên mang chìa khóa.
spam,HOT! Khóa học online chỉ 99k cho 100 người đăng ký đầu tiên: course-cheap-fake.com
ham,"Chị ơi, mai em có thể nghỉ làm không? Em đang bị ốm."
spam,Thông báo: Tài khoản Facebook của bạn sắp bị khóa. Xác minh: fb-lock-fake.com
ham,"Hôm nay trời mưa, nhớ mang áo mưa đi làm nhé!"
spam,BẤT ĐỘNG SẢN ĐẤT NỀN GIÁ RẺ! Chỉ từ 200tr/nền. Hotline: 090xxxxxxx
ham,Mai là hạn chót nộp báo cáo đó! Nhớ hoàn thành nhé.
spam,Cảnh báo: Tài khoản ngân hàng của bạn có rủi ro bảo mật. Xác minh: bank-risk-fake.com
ham,"Anh ơi, em đã đặt đồ ăn rồi. 30 phút nữa sẽ đến nhé!"
spam,NÓNG! Cơ hội việc làm lương 30-60tr/tháng. Ứng tuyển: job-hot-fake.com
ham,Chờ anh ở cổng trường nhé! Anh sắp đến rồi.
spam,Chúc mừng! Bạn đã trúng 30 triệu đồng trong chương trình quay số. LH: 090xxxxxxx
ham,"Mẹ ơi, con đã đến trường an toàn rồi!"
spam,Thông báo: SIM của bạn sắp bị khóa do chưa cập nhật thông tin. Chi tiết: sim-update-fake.com
ham,"Chị ơi, em gửi file báo cáo rồi đó. Chị kiểm tra giúp em!"
spam,HOT! Cơ hội đầu tư lãi suất 40%/tháng. LH: 0901234567
ham,"Anh ơi, em quên mang theo ví. Anh mang giúp em được không?"
spam,Cảnh báo: Tài khoản Zalo của bạn đang bị đăng nhập lạ. Kiểm tra: zalo-check-fake.com
ham,Mai có bài kiểm tra môn Toán. Bạn ôn bài chưa?
spam,Thông báo: Bạn đã trúng 50 triệu trong chương trình khuyến mãi. LH: 1900xxxx
ham,"Chị ơi, tối nay em có thể về muộn một chút không?"
spam,HOT! Giảm giá 90% tất cả sản phẩm. Chỉ còn hôm nay: sale-final-fake.com
ham,Bố mẹ khỏe không? Cuối tuần này con về thăm nhà.
spam,Cảnh báo: Tài khoản ngân hàng của bạn có giao dịch lạ 50.000.000đ. Kiểm tra: bank-alert-fake.com
ham,Tối nay ăn ở đâu? Mình đặt bàn trước nhé!
spam,Chúc mừng! Bạn đã được chọn nhận iPhone 15 Pro Max. Đăng ký: iphone-gift-fake.com
ham,"Anh/chị ơi, em xin phép nghỉ làm ngày mai. Em đang không khỏe."
spam,KHẨN: SIM của bạn sẽ bị khóa sau 12h nữa. Liên hệ: 1900xxxx
ham,Bạn nhớ trả sách thư viện giúp mình nhé!
spam,Thông báo: Tài khoản ngân hàng của bạn có nguy cơ bị đóng băng. Xác minh: bank-freeze-fake.com
ham,Chiều nay có họp lớp lúc 3h. Bạn đến đúng giờ nhé!
spam,HOT! Khuyến mãi sốc! Mua 1 tặng 2 tất cả sản phẩm: shop-mega-fake.com
ham,"Mẹ ơi, con đã nộp học phí xong rồi!"
spam,Bạn đã trúng thưởng 20 triệu trong chương trình quay số. LH: 090xxxxxxx
ham,Tối nay mình phải làm việc muộn. Đừng đợi cơm mình nhé!
spam,Cảnh báo: Tài khoản di động của bạn sắp hết hạn. Gia hạn: mobile-extend-fake.com
ham,"Chị ơi, em gửi báo cáo rồi đó. Chị kiểm tra giúp em!"
spam,HOT! Cơ hội đầu tư BĐS sinh lời 200%. Chỉ còn 10 lô cuối. LH: 0901234567
ham,"Nhớ mang theo áo khoác khi ra ngoài nhé, trời lạnh lắm!"
spam,Thông báo: SIM của bạn sắp bị khóa 2 chiều. Cập nhật thông tin: sim-verify-fake.com
ham,"Anh ơi, em để quên điện thoại ở nhà. Anh mang giúp em được không?"
spam,Chương trình tặng xe Honda SH cho 5 khách hàng may mắn. Chi tiết: moto-lucky-fake.com
ham,Mai thi môn gì vậy? Cho mình mượn sách ôn thi với!
spam,Cảnh báo: Tài khoản ngân hàng của bạn có giao dịch bất thường. Kiểm tra: bank-warning-fake.com
ham,"Chị ơi, em xin phép về sớm hôm nay. Em có việc gấp."
spam,HOT! Cơ hội việc làm thu nhập 50-100tr/tháng. Ứng tuyển: job-best-fake.com
ham,Tối nay ăn gì? Mình đi chợ mua đồ nhé!
spam,Thông báo: Facebook của bạn đang có nguy cơ bị khóa. Xác minh: fb-security-fake.com
ham,Nhớ đón con lúc 5h chiều nhé! Con đang đợi ở trường.
ham,Bài tập về nhà nộp vào ngày mai đúng không?
spam,Cảnh báo: Tài khoản Momo của bạn có giao dịch lạ. Kiểm tra: momo-alert-fake.com
ham,Anh/chị có thể duyệt báo cáo giúp em hôm nay được không?
spam,HOT! Cơ hội mua đất nền giá gốc chỉ 300tr/nền. LH: 0987654321
ham,"Mẹ ơi, con đã đặt vé máy bay về quê rồi!"
spam,Thông báo: Bạn còn nợ cước 1.500.000đ. Thanh toán để tránh bị khóa sim.
ham,"Chị ơi, em có thể nộp báo cáo vào ngày mai được không?"
spam,Chúc mừng! Bạn đã được chọn nhận iPhone 15 miễn phí. Đăng ký: iphone-free-fake.com
ham,"Anh ơi, em đã đặt bàn ở nhà hàng ABC lúc 7h tối nay rồi nhé!"
spam,KHẨN: Tài khoản di động của bạn sắp bị khóa. Xác minh ngay: mobile-secure-fake.com
spam,"Chúc mừng! Số điện thoại của bạn đã trúng 10 triệu trong chương trình quay số. Liên hệ: 090xxxxxxx 100tr/tháng, làm online 2h/ngày. Ứng tuyển: highincome-fake.com"
ham,Nhớ đem theo đồ ăn khi đi dã ngoại vào Chủ nhật nhé!
spam,Bạn còn nợ tiền cước 2.000.000đ. Thanh toán ngay kẻo bị khóa SIM.
spam,NÓNG! Cơ hội mua đất nền giá gốc chỉ từ 200 triệu. Liên hệ: 090xxxxxxx
ham,Chúc mừng sinh nhật! Tối nay cả nhóm sẽ đến nhà bạn lúc 7h nhé.
spam,Tài khoản Internet Banking của bạn sắp hết hạn xác thực. Gia hạn tại: ebank-verify-fake.com
spam,Chúc mừng! Bạn được tặng 1 năm sử dụng dịch vụ miễn phí. Kích hoạt: service-free-fake.com
ham,"Em ơi, anh đang ở ngoài cổng. Ra đây anh đón."
spam,Cảnh báo: Thẻ tín dụng của bạn đã bị khóa do nghi ngờ giao dịch bất thường. Mở khóa: card-secure-fake.com
ham,Tài liệu họp đã được gửi qua email. Mọi người kiểm tra nhé!
spam,HOT! Nhận ngay 5 triệu khi mở tài khoản ngân hàng mới. Liên hệ: bank-bonus-fake.com
ham,"Chị ơi, em đã đặt đồ ăn rồi. 30 phút nữa sẽ đến."
spam,Thông báo: Bạn còn nợ tiền điện 1.500.000đ. Thanh toán ngay để tránh bị cắt điện.
ham,Bố mẹ sẽ đến thăm vào cuối tuần này. Nhớ dọn nhà nhé!
spam,"Cơ hội đầu tư sinh lời 50%/tháng, cam kết hoàn tiền. Liên hệ: investment-fake.com"
ham,Đến giờ uống thuốc rồi đó! Nhớ uống đầy đủ nhé.
spam,Tài khoản Facebook của bạn đang gặp vấn đề bảo mật. Xác minh tại: fb-verify-fake.com
ham,"Họp lớp vào thứ 7 tuần sau, bạn có tham gia không?"
spam,Chương trình khuyến mãi 50% tất cả sản phẩm. Mua ngay: sale-fake.com
ham,Nhớ gửi tiền học cho con trước ngày mai nhé!
spam,Cảnh báo khẩn cấp: SIM của bạn sẽ bị khóa trong 60 phút nữa. Gọi 19001234 để được hỗ trợ.
ham,"Anh ơi, tối nay có mấy người bạn đến chơi. Anh nhớ về sớm nhé!"
spam,Cơ hội trúng xe Honda khi nạp thẻ trên 100k. Chi tiết: simcard-bonus-fake.com
ham,Sáng mai nhớ mang theo hồ sơ họp nhé!
spam,Chúc mừng! Số điện thoại của bạn đã trúng 50 triệu trong chương trình quay số. Liên hệ: 090xxxxxxx
ham,"Mẹ ơi, con đã đến trường an toàn rồi ạ!"
spam,Thông báo: Bạn có một gói quà chưa nhận. Xác nhận tại: gift-collect-fake.com
ham,Chiều nay em phải đi công tác. Anh đón con giúp em nhé!
spam,HOT! Cơ hội đầu tư BĐS sinh lời 300%. Chỉ còn 3 lô cuối. LH: 0901234567
ham,"Chị ơi, em đã chuyển khoản tiền mua hàng rồi. Chị gửi hàng giúp em nhé!"
spam,Tài khoản Momo của bạn sắp bị khóa. Xác minh ngay: momo-verify-fake.com
ham,Nhớ mang theo bút và giấy khi đi họp nhé!
spam,Bạn vừa trúng thưởng 10 triệu đồng! Gọi ngay 1900xxxx để nhận giải.
spam,Cơ hội cuối! Mua 1 tặng 1 tất cả sản phẩm. Chỉ còn hôm nay: shop-lastday-fake.com
ham,Nhớ trả sách thư viện vào thứ 6 này nhé!
spam,Thông báo: Tài khoản ngân hàng của bạn có giao dịch bất thường. Kiểm tra: bank-check-fake.com
ham,Em đã đặt bàn ở nhà hàng ABC lúc 7h tối nay. Anh đến đúng giờ nhé!
spam,KHẨN: Tài khoản di động của bạn sắp hết hạn. Gia hạn tại: mobile-renew-fake.com
ham,"Anh ơi, quên mất em có hẹn với bác sĩ chiều nay. Anh đón con giúp em nhé!"
spam,Cảnh báo: Hóa đơn điện nước chưa thanh toán. Nguy cơ cắt dịch vụ trong 48h: utility-pay-fake.com
ham,Chúc mừng sinh nhật! Tối nay đi ăn ở đâu?
ham,"Nhớ đóng cửa sổ trước khi ra ngoài nhé, trời sắp mưa rồi!"
spam,Thông báo từ Viettel: SIM của bạn sẽ bị khóa nếu không cập nhật thông tin. Chi tiết: sim-update-fake.com
ham,Mình đã gửi email cho bạn rồi đó. Kiểm tra giúp mình nhé!
spam,Cơ hội cuối cùng: Mua đất nền giá gốc chỉ từ 300tr/nền. LH: 0987654321
ham,Bạn đã làm bài tập về nhà chưa? Mai nộp rồi đó!
ham,"Chị ơi, em đã chuyển tiền thanh toán hóa đơn rồi ạ!"
ham,Nhớ mang theo bút
ham,Bạn đã hoàn thành bài tập nhóm chưa? Mai là deadline rồi.
ham,"Chị ơi, gửi em số tài khoản để em chuyển tiền tiền mua quần áo ạ."
ham,"Lát 6h tan làm mình đi ăn cơm gà nhé, tớ đợi ở ngã tư gần công ty."
ham,"Con ơi, mẹ đã nấu canh chua để trong tủ lạnh, con nhớ hâm nóng trước khi ăn."
ham,"Bác sĩ dặn uống thuốc sau khi ăn, nhớ đừng quên nhé."
ham,Thầy thông báo lớp mình học bù vào chiều thứ bảy tuần này.
ham,"Sáng mai có buổi phỏng vấn, em nhớ chuẩn bị hồ sơ đầy đủ nhé!"
ham,"Chắc chiều nay trời mưa, nhớ mang theo áo mưa khi đi làm."
ham,"Chìa khóa dự phòng để ở chậu hoa cạnh cửa, nếu quên chìa khóa thì lấy ở đó."
ham,"Tối nay đi ăn sinh nhật bạn Hoa lúc 7h, đừng đến muộn nhé."
ham,Anh có thể mua giúp em chai dầu gội khi về không? Em quên mua hôm qua.
ham,"Mai thi môn Lý phòng A205, nhớ mang đủ bút thước nhé."
ham,"Bố mẹ đã về quê an toàn, con đừng lo."
ham,"Cuối tuần này đi chơi Đà Lạt, nhớ mang theo áo ấm đấy!"
ham,"Tớ vừa gửi bản thuyết trình qua email, bạn check và góp ý giúp mình nhé."
spam,KHẨN CẤP: Thẻ ATM của bạn sẽ bị khóa vĩnh viễn. Xác minh ngay: card-secure-verify.vn
spam,Chúc mừng! Số điện thoại bạn trúng 500 triệu trong chương trình tri ân khách hàng. Liên hệ: 0901111xxx
spam,"NÓNG! Đất nền trung tâm thành phố chỉ 399tr/nền, sổ đỏ trao tay. LH: 0888xxxyyy"
spam,Cảnh báo: Phát hiện đăng nhập lạ vào tài khoản ngân hàng. Xác thực tại: secure-bank-login.xyz
spam,"Việc làm online 2-3h mỗi ngày, thu nhập 5-10tr/tuần. Đăng ký: easy-money-job.xyz"
spam,Chỉ còn 5 suất mua iPhone 15 Pro giá 2.990.000đ. Đặt cọc ngay: super-iphone-deal.site
spam,KHẨN: Thuê bao của bạn sắp bị khóa vì vi phạm quy định. Cập nhật tại: mobile-update-verify.com
spam,Công ty chứng khoán ZZZ cần tuyển 100 nhân viên lương 30-60tr/tháng. Chi tiết: stock-job-high.net
spam,"BOM TẤN: Đầu tư chỉ 5tr, thu về 20tr sau 7 ngày. Cơ hội vàng: quick-invest-return.club"
spam,Tài khoản VN-Pay của bạn sắp hết hạn. Gia hạn tại: vnpay-extend-now.vn
spam,Kích hoạt bảo mật 2 lớp cho Facebook của bạn tại: fb-security-protect.info
spam,Thông báo từ Viettinbank: Tài khoản của bạn bị trừ 25.000.000đ. Kiểm tra: viettin-check-urgent.com
spam,Mua 2 tặng 5! Siêu sale cuối năm giảm 80% toàn bộ sản phẩm: mega-discount-2023.shop
spam,Tin vui: Bạn được chọn nhận học bổng toàn phần khóa học ngoại ngữ. Đăng ký: language-scholarship.edu
spam,Hệ thống phát hiện mã độc trong điện thoại của bạn. Quét virus tại: phone-antivirus-scan.mobi
ham,"Lịch họp vào thứ hai tuần sau đã được thay đổi thành 2h chiều, anh ghi nhớ giúp em."
ham,"Em đã gửi báo cáo tài chính quý 2, anh kiểm tra hộ em có thiếu sót gì không?"
ham,"Nhớ tắt bếp ga trước khi đi ngủ nhé, hôm qua quên tắt rồi đấy."
ham,"Con đã nộp học phí cho kỳ mới rồi, bố mẹ yên tâm."
ham,"Chiều nay trời mưa to lắm, nhớ đi xe cẩn thận nhé!"
spam,"NÓNG! Duy nhất hôm nay: Mua xe máy Honda trả góp 0%, chỉ cần CMND. Liên hệ: 0909xxxxxx"
spam,Thông báo: Tài khoản Momo của bạn bị truy cập từ thiết bị lạ. Xác minh: momo-secure-login.online
spam,Bạn được chọn làm Tester iPhone 16 với thù lao 15tr/tháng. Đăng ký: apple-tester-vn.site
spam,Cảnh báo khẩn: SIM của bạn sắp bị khóa 2 chiều trong vòng 2 giờ tới. Xác thực: sim-verify-urgent.vn
spam,"SIÊU HOT! Đầu tư bitcoin chỉ 2tr, lãi 30tr sau 1 tháng. Liên hệ cố vấn: 0888xxxyyyy"
spam,Bạn đã trúng thưởng 100 triệu đồng! Soạn TT gửi 8888 để nhận giải.
ham,Mai họp lúc 9h sáng ở phòng họp lớn nhé mọi người.
spam,Tài khoản ngân hàng của bạn bị khóa. Bấm vào link sau để mở khóa ngay: http://fakebank.vn
ham,"Mẹ nấu cơm xong rồi, con về ăn nhé."
spam,Nhanh tay đăng ký gói data 4GB/ngày chỉ với 5.000đ. Soạn DK gửi 9999.
ham,"Thầy dạy toán có gửi bài tập về rồi đó, bạn làm chưa?"
spam,"Vay tiền nóng không cần thế chấp, duyệt trong 10 phút. Gọi ngay 0901234567."
ham,Bạn có thể gửi cho mình slide bài thuyết trình hôm qua được không?
spam,Bạn đã được chọn làm người may mắn! Nhận iPhone 14 miễn phí tại http://quatang247.vn
ham,Chiều nay có lớp học thêm tiếng Anh lúc 5h đó nha.
